track1,truthhits,x,0.,-3.3014,-4.9767,-8.7215,-12.0722,-29.4660,-36.5615,-43.6570,-50.6539
track1,truthhits,y,0.,0.5687,0.8573,1.5024,2.0796,5.0760,6.2983,7.5207,8.7260
track1,truthhits,z,0.,-1.1670,-1.7592,-3.0829,-4.2673,-10.4156,-12.9238,-15.4319,-17.9052
track2,truthhits,x,0.,2.2260,3.3556,5.8806,8.1399,19.8679,24.6522,29.4364,34.1542
track2,truthhits,y,0.,-2.5035,-3.7739,-6.6137,-9.1545,-22.3445,-27.7251,-33.1057,-38.4116
track2,truthhits,z,0.,-2.4849,-3.7459,-6.5645,-9.0865,-22.1785,-27.5191,-32.8598,-38.1262
track1,recohits,x,0.,-3.3015,-4.9769,-8.7221,-12.0733,-29.4728,-36.5719,-43.6718,-50.6739
track1,recohits,y,0.,0.5682,0.8562,1.4990,2.0730,5.0364,6.2374,7.4337,8.6090
track1,recohits,z,0.,-1.1670,-1.7592,-3.0829,-4.2673,-10.4156,-12.9238,-15.4319,-17.9052
track2,recohits,x,0.,2.2252,3.3537,5.8748,8.1288,19.8017,24.5502,29.2909,33.9583
track2,recohits,y,0.,-2.5042,-3.7756,-6.6188,-9.1644,-22.4032,-27.8154,-33.2345,-38.5849
track2,recohits,z,0.,-2.4849,-3.7459,-6.5645,-9.0865,-22.1785,-27.5191,-32.8598,-38.1262
